Fecha,Mes,Día de la Semana,Día del Año,Hora,Temperatura (°C),Radiación Solar (W/m²),Generación FV (kWh),Consumo Agua (L),Consumo Energía (kWh)
2023-01-01 00:00:00,1,6,1,0,15.993428306022466,0.0,0.0,0.6844301003294149,21.635577480711827
2023-01-01 01:00:00,1,6,1,1,14.723471397657631,0.0,0.0,24.16813078738595,21.894748738559734
2023-01-01 02:00:00,1,6,1,2,16.295377076201383,0.0,0.0,31.487876228401646,20.479433267655637
2023-01-01 03:00:00,1,6,1,3,18.04605971281605,0.0,0.0,0.0,21.71032903693113
2023-01-01 04:00:00,1,6,1,4,14.531693250553328,0.0,0.0,27.371155079842595,21.683582737252003
2023-01-01 05:00:00,1,6,1,5,14.531726086101639,0.0,0.0,15.968782637274987,19.31883213410886
2023-01-01 06:00:00,1,6,1,6,18.158425631014783,0.0,0.0,31.154384618571804,22.69312297080885
2023-01-01 07:00:00,1,6,1,7,16.534869458305817,0.0,0.0,17.288439682042714,17.53828370965042
2023-01-01 08:00:00,1,6,1,8,14.061051228130095,0.0,0.0,21.432257187170034,25.35686139732167
2023-01-01 09:00:00,1,6,1,9,16.08512008717193,42.80430954623059,3.310059361936173,21.599926394206754,22.66816082116463
2023-01-01 10:00:00,1,6,1,10,14.073164614375075,145.31113756320542,11.236917412841196,25.14110688005923,23.642321109072782
2023-01-01 11:00:00,1,6,1,11,14.068540492859487,339.2129746368138,26.23135600806998,22.471040457243365,22.92339947409772
2023-01-01 12:00:00,1,6,1,12,15.48392454313207,420.4482141287621,32.513281072391685,9.009028673888023,21.514392084022873
2023-01-01 13:00:00,1,6,1,13,11.173439510684403,590.4537792922999,45.65981978581367,15.36875473039564,20.05611307256209
2023-01-01 14:00:00,1,6,1,14,11.550164334973935,671.6916419329923,51.94194769835673,17.934195466869824,21.550854086558935
2023-01-01 15:00:00,1,6,1,15,13.875424941518055,495.5559118478452,38.32136303012101,30.30357722628503,23.272234306378948
2023-01-01 16:00:00,1,6,1,16,12.974337759331153,437.12493090553335,33.802892400748476,22.84325437702705,19.95468098762254
2023-01-01 17:00:00,1,6,1,17,15.628494665190548,328.555184822139,25.407188597648126,11.424097177101952,21.914049634469578
2023-01-01 18:00:00,1,6,1,18,13.183951848957578,164.46555684663778,12.718129597868938,8.803046812386905,17.979615689272062
2023-01-01 19:00:00,1,6,1,19,12.175392597329417,39.617977519299494,3.0636601496187974,24.54747219161467,19.983239706536484
2023-01-01 20:00:00,1,6,1,20,17.931297537843108,8.447643616080768e-30,6.532566962097134e-31,13.25176215789526,19.882665413102668
2023-01-01 21:00:00,1,6,1,21,14.548447399026928,0.0,0.0,25.531941940567734,24.96069990773648
2023-01-01 22:00:00,1,6,1,22,15.135056409375848,0.0,0.0,17.44213773092977,18.925119336348395
2023-01-01 23:00:00,1,6,1,23,12.150503627573087,0.0,0.0,32.60105906247802,22.397106702983137
2023-01-02 00:00:00,1,0,2,0,14.012074887084088,0.0,0.0,52.931728034600205,39.23422824834293
2023-01-02 01:00:00,1,0,2,1,15.322685515554186,0.0,0.0,74.68951791668644,38.0561096193309
2023-01-02 02:00:00,1,0,2,2,12.798853181289848,0.0,0.0,70.13665119807845,39.08818333320647
2023-01-02 03:00:00,1,0,2,3,15.852236372825796,0.0,0.0,55.89792036133283,39.385185584825315
2023-01-02 04:00:00,1,0,2,4,13.899562956296844,0.0,0.0,51.51855880131547,36.1576460524294
2023-01-02 05:00:00,1,0,2,5,14.5174528365479,0.0,0.0,79.57876735736097,36.995494175707535
2023-01-02 06:00:00,1,0,2,6,13.89742711167566,0.0,0.0,51.275600538390634,36.435135801406176
2023-01-02 07:00:00,1,0,2,7,18.80539670515233,0.0,0.0,63.365714799877416,37.00682007853133
2023-01-02 08:00:00,1,0,2,8,15.073845886658585,0.0,0.0,63.75545539979789,36.888877100032104
2023-01-02 09:00:00,1,0,2,9,12.985418478222652,39.38601175911497,3.0457222259777645,60.40193124993161,39.480072121371364
2023-01-02 10:00:00,1,0,2,10,16.74593016034083,135.95605569548448,10.513488472012599,68.1153211861473,36.62884346093329
2023-01-02 11:00:00,1,0,2,11,12.659153036192409,255.48596858548567,19.75674251318905,50.996179714886196,34.13773935454247
2023-01-02 12:00:00,1,0,2,12,15.518567526143965,432.037459309888,33.40947797210169,79.63253904956073,37.23695760694976
2023-01-02 13:00:00,1,0,2,13,11.181500088374902,603.3206973684198,46.65481919331788,52.056701257782095,37.50689267451982
2023-01-02 14:00:00,1,0,2,14,12.444468238337592,664.5642579355964,51.39078674337826,58.86255295229215,34.40137480754473
